Genes,ProtDesc,X3_vs_X3H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
ATP5MF,"ATP synthase subunit f, mitochondrial",-0.16,Non-significant,0.316,-1.17657808591358,0.266091948906186,20.93,2,0.48265809172899,0.199542504898251,0.40411244556025,-0.16
CROCC,Rootletin,-0.43,Non-significant,0.316,-1.17657516599923,0.266093063626283,13.65,1,0.48265809172899,0.271970759968526,0.486775507560626,-0.43
EIF4A1,Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-II,0.05,Non-significant,0.316,1.17672714783459,0.2660350472522,21.87,7,0.48265809172899,0.238532041618288,0.450419048845185,0.05
GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,0.06,Non-significant,0.316,1.17782191004393,0.26561743746629,19.96,8,0.48265809172899,0.276326595847367,0.490896610169595,0.06
JPT2,Jupiter microtubule associated homolog 2,0.13,Non-significant,0.316,1.17638009498028,0.266167543233344,19.51,4,0.48265809172899,0.243775643263417,0.456173460211777,0.13
POLB,DNA polymerase beta,0.18,Non-significant,0.316,1.17765808958635,0.265679895584949,17.48,5,0.48265809172899,0.275716910395726,0.490504196876581,0.18
TAX1BP1,Tax1-binding protein 1,-0.26,Non-significant,0.316,-1.17743924168062,0.265763351620169,15.88,3,0.48265809172899,0.268901956874481,0.484852646791585,-0.26
SLC6A11,Sodium- and chloride-dependent taurine transporter;Sodium- and chloride-dependent creatine transporter 1,-0.2,Non-significant,0.316,-1.17608246750328,0.266281211525151,16.37,4,0.482716277142868,0.271572652383861,0.486775507560626,-0.2
METTL1,tRNA (guanine-N(7)-)-methyltransferase,0.17,Non-significant,0.316,1.17521615339863,0.266612288588325,16.36,4,0.483168426210449,0.26545117827091,0.480916908092154,0.17
DOCK1,Dedicator of cytokinesis protein 1,-0.23,Non-significant,0.316,-1.17444101414378,0.266908798045251,17.48,7,0.483261737464427,0.286409244180134,0.502982414824913,-0.23
PELO,Protein pelota homolog,0.16,Non-significant,0.316,1.1745432629513,0.266869670457756,16.21,4,0.483261737464427,0.262585741820545,0.477427274770917,0.16
PHF3,PHD finger protein 3,-0.13,Non-significant,0.316,-1.17472696292305,0.266799385341426,16.3,9,0.483261737464427,0.288516351245855,0.50432828665339,-0.13
CTCF,Transcriptional repressor CTCF,0.65,Non-significant,0.315,1.17242825852045,0.267679945554855,14.65,3,0.484509708732969,0.286528244707214,0.502982414824913,0.65
RNF170,E3 ubiquitin-protein ligase RNF170,-0.14,Non-significant,0.314,-1.17173143340028,0.267947331036976,17.47,2,0.484845369341219,0.165009984190512,0.360340269441799,-0.14
TPX2,Targeting protein for Xklp2,-0.4,Non-significant,0.314,-1.17144130881255,0.268058719855741,14.94,10,0.484898638149319,0.289842546862174,0.505664735599585,-0.4
GXYLT1,Glucoside xylosyltransferase 1,-0.39,Non-significant,0.313,-1.16918902812596,0.268924694835208,15.04,1,0.48608293429055,0.270625246854398,0.486139816125194,-0.39
RPL21,60S ribosomal protein L21,-0.08,Non-significant,0.313,-1.16913666002773,0.268944856033497,20.53,8,0.48608293429055,0.283489036283958,0.500269796508256,-0.08
YTHDF3,YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 1,-0.16,Non-significant,0.313,-1.1690976742249,0.268959865956948,17.66,2,0.48608293429055,0.204791164109814,0.411180630484482,-0.16
TMEM205,Transmembrane protein 205,-0.1,Non-significant,0.313,-1.16774577998857,0.269480768595212,20.87,3,0.486875635962709,0.143570734950045,0.333316059000415,-0.1
BLVRA,Biliverdin reductase A,0.07,Non-significant,0.312,1.16615942624011,0.270093028034088,20.58,13,0.487535218693623,0.308641882151131,0.524177387109139,0.07
MFSD9,Major facilitator superfamily domain-containing protein 9,-0.19,Non-significant,0.312,-1.16618355646538,0.270083706654689,17.17,2,0.487535218693623,0.229340533276441,0.44062435765789,-0.19
PSME4,Proteasome activator complex subunit 4,0.05,Non-significant,0.312,1.16617353826056,0.270087576603788,19.06,27,0.487535218693623,0.353502138215254,0.569782661895847,0.05
CCNT1,Cyclin-T1,-0.19,Non-significant,0.312,-1.16561449288485,0.270303600608902,15.79,2,0.487627968540651,0.233440789886061,0.444769607939161,-0.19
SSH3,Protein phosphatase Slingshot homolog 3,0.66,Non-significant,0.312,1.16559991937051,0.270309233870768,14.28,1,0.487627968540651,0.285331922163384,0.502173998643886,0.66
MRPL54,"39S ribosomal protein L54, mitochondrial",-0.13,Non-significant,0.312,-1.16493958247207,0.270564578497838,20.1,1,0.487939838760045,0.0395711504011299,0.154345746159186,-0.13
NAT1,Arylamine N-acetyltransferase 1,0.35,Non-significant,0.312,1.16451705707859,0.270728064073955,13.98,1,0.488085909544666,0.268170369700698,0.484064697229722,0.35
FOXP4,Forkhead box protein P4,-0.22,Non-significant,0.311,-1.16294596230933,0.271336643876573,16.61,2,0.488796589821111,0.250340111242091,0.462605383578842,-0.22
ITGB2,Integrin beta-2,-0.66,Non-significant,0.311,-1.16309641502645,0.271278317758426,14.99,2,0.488796589821111,0.288419088703133,0.50432828665339,-0.66
TMEM53,Transmembrane protein 53,-0.62,Non-significant,0.311,-1.16285971014473,0.271370085780353,14.44,1,0.488796589821111,0.285557934394305,0.502263446120531,-0.62
ABCF1,ATP-binding cassette sub-family F member 1,0.03,Non-significant,0.31,1.1613145533748,0.271969728899852,20.59,26,0.489727597656855,0.409360984193427,0.622350704900439,0.03
RMC1,Regulator of MON1-CCZ1 complex,0.28,Non-significant,0.31,1.16099141082431,0.272095265811881,15.77,4,0.489804590145694,0.285243392330763,0.502167555019674,0.28
SLC37A3,Sugar phosphate exchanger 3,-0.53,Non-significant,0.31,-1.16036767736362,0.272337707806671,14.54,1,0.490091915173987,0.283693520921378,0.500481384404231,-0.53
G6PC3,Glucose-6-phosphatase 3,0.4,Non-significant,0.31,1.16015452142715,0.272420599458334,17.24,1,0.490092030098803,0.27550444861804,0.49027363081893,0.4
RIOX2,Ribosomal oxygenase 2,-0.23,Non-significant,0.31,-1.15976115114483,0.272573624718053,15.44,7,0.490218278862225,0.292223290094985,0.507956876466518,-0.23
HEATR6,HEAT repeat-containing protein 6,0.5,Non-significant,0.309,1.1592005437796,0.272791824062006,15.52,1,0.490461629588238,0.28278064965438,0.499354871486315,0.5
ASCC3,Activating signal cointegrator 1 complex subunit 3,0.07,Non-significant,0.308,1.15735325974422,0.273511797180087,16.69,14,0.491505348121524,0.314223393285058,0.530241879488676,0.07
CPE,Carboxypeptidase E,0.13,Non-significant,0.308,1.1572849038525,0.273538467359165,17.12,7,0.491505348121524,0.288874350750995,0.50480494193551,0.13
AP5S1,AP-5 complex subunit sigma-1,-0.34,Non-significant,0.308,-1.15663520554178,0.273792060116055,15.04,1,0.491811663541802,0.270634536811964,0.486139816125194,-0.34
HPCAL1,Hippocalcin-like protein 1,0.05,Non-significant,0.308,1.15640096125154,0.273883536637975,19.51,10,0.491826672621213,0.307293165074454,0.523087933758787,0.05
OPLAH,5-oxoprolinase,-0.08,Non-significant,0.308,-1.15557526674099,0.274206176770733,17.91,16,0.491958140676903,0.313579764210006,0.529674982823467,-0.08
PLCD3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",-0.21,Non-significant,0.308,-1.15587197914728,0.274090201981181,15.91,3,0.491958140676903,0.268167250556497,0.484064697229722,-0.21
PRSS23,Serine protease 23,-0.33,Non-significant,0.308,-1.15559388351679,0.274198898970801,14.48,1,0.491958140676903,0.269029452766383,0.484875806280441,-0.33
MTFMT,"Methionyl-tRNA formyltransferase, mitochondrial",-0.12,Non-significant,0.308,-1.15512694840127,0.274381482417257,17.04,5,0.492123440879936,0.268319342456771,0.484185894881584,-0.12
ATG5,Autophagy protein 5,0.14,Non-significant,0.308,1.15468461843626,0.274554532849762,16.1,6,0.492135465274778,0.285637400066856,0.502263446120531,0.14
ERCC8,DNA excision repair protein ERCC-8,-0.37,Non-significant,0.308,-1.15485528783229,0.27448775258575703,14.21,1,0.492135465274778,0.274316398638645,0.489336789491969,-0.37
MFSD5,Molybdate-anion transporter,-0.49,Non-significant,0.307,-1.15340481554335,0.275055707035696,13.44,1,0.492884499857727,0.284823385224107,0.501874444255179,-0.49
G3BP2,Ras GTPase-activating protein-binding protein 2,0.12,Non-significant,0.307,1.15307961248449,0.275183171975962,17.9,7,0.492963617493724,0.289495735627183,0.505442982503996,0.12
SNX5,Sorting nexin-5,0.04,Non-significant,0.307,1.15243169256858,0.27543726581656,19.52,17,0.493269461814946,0.358204143441567,0.574408651484896,0.04
ERGIC3,Endoplasmic reticulum-Golgi intermediate compartment protein 3,-0.07,Non-significant,0.307,-1.1519935503447,0.275609195938982,17.82,7,0.493428021897415,0.274860283955784,0.489903554979153,-0.07
ARPC4,Actin-related protein 2/3 complex subunit 4,0.07,Non-significant,0.307,1.15144167835266,0.275825874449398,21.07,5,0.493666575655501,0.199116715712491,0.403824664751725,0.07
KLHDC2,Kelch domain-containing protein 2,-0.67,Non-significant,0.306,-1.15080373969632,0.276076511623408,14.19,1,0.49396574516955,0.291500834152312,0.507148025780427,-0.67
KPNA1,Importin subunit alpha-7;Importin subunit alpha-5,0.1,Non-significant,0.306,1.15056987322956,0.276168439294652,17.58,6,0.493980851059993,0.278109098818838,0.49290433464944,0.1
AKAP8L,A-kinase anchor protein 8-like,0.17,Non-significant,0.306,1.14976277449025,0.27648587642477,16.51,5,0.494375355908773,0.285613861803243,0.502263446120531,0.17
DCAF7,DDB1- and CUL4-associated factor 7,0.12,Non-significant,0.306,1.1495843327992,0.276556097356437,16.95,5,0.494375355908773,0.271975634273353,0.486775507560626,0.12
PLS3,Plastin-3;Plastin-3;Plastin-1,0.1,Non-significant,0.306,1.1489571554785,0.276803017251914,18.49,3,0.494667306879968,0.161449377304577,0.356063324717181,0.1
CDK1,Cyclin-dependent kinase 1;Cyclin-dependent kinase 1;Cyclin-dependent kinase 1;Cyclin-dependent kinase 4;Cyclin-dependent kinase 2;Cyclin-dependent kinase 9;Cyclin-dependent kinase 6;Cyclin-dependent-like kinase 5;Cyclin-dependent kinase 18;Cyclin-dependent kinase 13;Cyclin-dependent kinase 12,0.19,Non-significant,0.305,1.14757623883552,0.277347294573307,17.86,1,0.495340761240645,0.21344771291378,0.420429466481637,0.19
DPY30,Protein dpy-30 homolog,0.19,Non-significant,0.305,1.14776829839662,0.277271545579446,20.36,4,0.495340761240645,0.280472754531826,0.496212185955447,0.19
SORD,Sorbitol dehydrogenase,-0.06,Non-significant,0.305,-1.14717488308458,0.277505643173504,20.9,11,0.495474016492947,0.314493582700463,0.530273157259425,-0.06
ICAM3,Intercellular adhesion molecule 3,-0.51,Non-significant,0.305,-1.14696125509722,0.27758995565721,14.57,2,0.495475043023744,0.29181084196818,0.507538139895861,-0.51
METTL3,N6-adenosine-methyltransferase catalytic subunit,0.1,Non-significant,0.305,1.14610182331213,0.277929350357658,16.77,5,0.495931232227462,0.262129942483238,0.477384693651375,0.1
DDX41,Probable ATP-dependent RNA helicase DDX41,0.06,Non-significant,0.304,1.14550144364058,0.278166636868049,18.37,10,0.496169994027383,0.309993949238446,0.525830126608244,0.06
PPME1,Protein phosphatase methylesterase 1,0.13,Non-significant,0.304,1.14512696373677,0.278314722017388,20.14,9,0.496169994027383,0.300101668380518,0.516042305087918,0.13
PRPF4B,Serine/threonine-protein kinase PRP4 homolog,-0.06,Non-significant,0.304,-1.14517042224095,0.278297533522247,18.57,11,0.496169994027383,0.316798917468788,0.532151384932917,-0.06
TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1,0.08,Non-significant,0.304,1.14413192304525,0.27870850336595,17.92,13,0.496722353739857,0.314051117612947,0.530168463028761,0.08
PSMB7,Proteasome subunit beta type-7,0.07,Non-significant,0.304,1.14366210526672,0.278894582611612,21.24,5,0.496904319576304,0.215988273930228,0.423521581996552,0.07
RWDD4,RWD domain-containing protein 4,0.29,Non-significant,0.304,1.14337630001515,0.279007828209955,16.81,3,0.496956447777936,0.286868623617568,0.502982414824913,0.29
ENSA,Alpha-endosulfine,-0.25,Non-significant,0.303,-1.14240362477705,0.279393504615491,19.37,2,0.49719439603304,0.268477764698831,0.484324065159447,-0.25
KLF16,Krueppel-like factor 16,1.09,Non-significant,0.303,1.14250316448713,0.279354016858317,16.46,1,0.49719439603304,0.298693384112747,0.514799161317565,1.09
RER1,Protein RER1,-0.1,Non-significant,0.303,-1.14263087368546,0.279303360566857,19.6,6,0.49719439603304,0.279761771007724,0.495465548953218,-0.1
ERCC2,General transcription and DNA repair factor IIH helicase subunit XPD,-0.11,Non-significant,0.303,-1.14124295413976,0.279854269507847,17.96,11,0.497795768588463,0.306289540109497,0.522727296475757,-0.11
WIPF2,WAS/WASL-interacting protein family member 2,0.27,Non-significant,0.303,1.14112859659693,0.279899699525742,17.18,7,0.497795768588463,0.300084558411438,0.516042305087918,0.27
CYSTM1,Cysteine-rich and transmembrane domain-containing protein 1,0.14,Non-significant,0.302,1.13929605626125,0.280628487639934,19.06,1,0.498941935506457,0.0981680427887863,0.26632751452602,0.14
ARHGEF28,Rho guanine nucleotide exchange factor 28,-0.41,Non-significant,0.3,-1.13609462384338,0.281905234963914,14.61,1,0.501061362355506,0.286608391280564,0.502982414824913,-0.41
HELZ,Probable helicase with zinc finger domain,-0.24,Non-significant,0.3,-1.13585008053935,0.282002946386875,14.78,5,0.501070771385864,0.29730695339935,0.513175391850628,-0.24
SUMO1,Small ubiquitin-related modifier 5,0.11,Non-significant,0.3,1.13565754678113,0.282079895130356,20.29,3,0.501070771385864,0.184824638927336,0.386024492952012,0.11
CRLS1,Cardiolipin synthase (CMP-forming),0.32,Non-significant,0.3,1.13496656472924,0.282356190611588,16.4,1,0.501204181202136,0.276645383985816,0.491269729004824,0.32
NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",-0.14,Non-significant,0.3,-1.13483070052128,0.282410542014764,17.3,9,0.501204181202136,0.304195233013242,0.521263595059181,-0.14
SOWAHC,Ankyrin repeat domain-containing protein SOWAHC,-0.09,Non-significant,0.3,-1.13462256227815,0.282493821921434,16.97,8,0.501204181202136,0.298943707670636,0.514799161317565,-0.09
TBC1D13,TBC1 domain family member 13,0.1,Non-significant,0.3,1.13509407340037,0.282305189206912,17.63,10,0.501204181202136,0.307222924410698,0.523087933758787,0.1
CTU2,Cytoplasmic tRNA 2-thiolation protein 2,0.26,Non-significant,0.3,1.13367121660163,0.282874716852821,15.52,4,0.501729526264432,0.295585730525382,0.511547460520236,0.26
MRPS34,"28S ribosomal protein S34, mitochondrial",-0.08,Non-significant,0.299,-1.1333068002389,0.283020726180536,20.21,8,0.501838069166985,0.29888929040169,0.514799161317565,-0.08
ISOC1,Isochorismatase domain-containing protein 1,-0.06,Non-significant,0.299,-1.13297864990766,0.283152255264765,20.34,10,0.501920879089758,0.315003658313255,0.530585315115946,-0.06
CTNNA1,Catenin alpha-2;Catenin alpha-1,0.05,Non-significant,0.299,1.13206275424183,0.283519616590632,18.81,7,0.502025978058346,0.262275280984504,0.477414653768231,0.05
SMG1,Serine/threonine-protein kinase SMG1,-0.13,Non-significant,0.299,-1.13198474168084,0.283550924230352,15.97,7,0.502025978058346,0.298622117236117,0.514799161317565,-0.13
ZNF324,Zinc finger protein 324A,0.36,Non-significant,0.299,1.13200211366965,0.283543952350826,14.22,1,0.502025978058346,0.284172834862674,0.501063608342342,0.36
ZYG11B,Protein zyg-11 homolog B,0.22,Non-significant,0.299,1.13230011845724,0.283424375269567,15.12,2,0.502025978058346,0.262334742467065,0.477414653768231,0.22
MAPK1,Mitogen-activated protein kinase 3;Mitogen-activated protein kinase 1,0.1,Non-significant,0.299,1.13047298460784,0.284158148227806,19.25,14,0.502846006240991,0.31683881610965,0.532151384932917,0.1
SNUPN,Snurportin-1,-0.47,Non-significant,0.299,-1.13040854624553,0.284184053552455,14.05,1,0.502846006240991,0.293605300298514,0.509327605645223,-0.47
NUDT5,ADP-sugar pyrophosphatase,0.07,Non-significant,0.298,1.12984579561494,0.284410367203748,19.56,14,0.503096006799574,0.324462277383399,0.539532485400903,0.07
LDHAL6B,L-lactate dehydrogenase A-like 6B,-0.97,Non-significant,0.297,-1.1282193216579,0.285065253595494,17.83,2,0.504103737455033,0.304769193876053,0.521944810467324,-0.97
OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,-0.2,Non-significant,0.297,-1.12800628229793,0.285151119100743,16.18,10,0.504104921338242,0.30765649691572,0.523555792996926,-0.2
COX16,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial",-0.11,Non-significant,0.297,-1.12641277544181,0.285794021031343,17.62,2,0.504780262853923,0.0785366951522414,0.231655845072688,-0.11
GET4,Golgi to ER traffic protein 4 homolog,0.13,Non-significant,0.297,1.12668200460424,0.28568532109285,16.6,3,0.504780262853923,0.235580885225353,0.447490240089378,0.13
NPC2,NPC intracellular cholesterol transporter 2,-0.1,Non-significant,0.297,-1.12623083848852,0.285867495403701,21.23,10,0.504780262853923,0.310896953856726,0.526574674187092,-0.1
P2RX4,P2X purinoceptor 4,0.24,Non-significant,0.297,1.12621381183961,0.285874372287222,17.23,3,0.504780262853923,0.287471859375548,0.503734198782612,0.24
PPP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1,0.07,Non-significant,0.297,1.12549291927511,0.286165651340887,16.92,7,0.505143842179006,0.285868555301249,0.502520570920229,0.07
RPL8,60S ribosomal protein L8,-0.04,Non-significant,0.296,-1.12448649916463,0.286572685005594,22.55,9,0.505560696833065,0.310148240977315,0.525830126608244,-0.04
UCKL1,Uridine-cytidine kinase-like 1,-0.16,Non-significant,0.296,-1.12456397166257,0.286541336256686,15.77,3,0.505560696833065,0.261751695317384,0.477136408254146,-0.16
CAB39,Calcium-binding protein 39,-0.07,Non-significant,0.296,-1.12419929767812,0.286688922523253,18.48,13,0.505615008813737,0.327644891510546,0.543502894047631,-0.07
AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,0.05,Non-significant,0.296,1.12355219299038,0.286950956138545,20.48,6,0.505775635231388,0.220118851388927,0.428999750878881,0.05
KDM6A,Lysine-specific demethylase 6A,-0.71,Non-significant,0.296,-1.12373669806173,0.28687622509213,14.12,1,0.505775635231388,0.303303476048938,0.520260611236042,-0.71
TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,-0.19,Non-significant,0.295,-1.12162091735431,0.287734099514001,16.53,4,0.507004963318745,0.292014315270805,0.507742786793227,-0.19
CPN2,Carboxypeptidase N subunit 2,0.45,Non-significant,0.295,1.12139070856278,0.28782756120486,15.68,4,0.507018660211122,0.306502425281865,0.522727296475757,0.45
MAT1A,S-adenosylmethionine synthase isoform type-2;S-adenosylmethionine synthase isoform type-1,-0.05,Non-significant,0.295,-1.12090287605567,0.288025692636309,19.99,11,0.50706576118091,0.3306756760213,0.546233382193756,-0.05
VPS33B,Vacuolar protein sorting-associated protein 33B,-0.18,Non-significant,0.295,-1.12090529416354,0.288024710269172,16.43,11,0.50706576118091,0.311439198540462,0.526961892411756,-0.18
COMT,Catechol O-methyltransferase,0.05,Non-significant,0.294,1.11974759708587,0.288495327635598,20.81,16,0.507727634731247,0.354820344544564,0.570843079007211,0.05
DCTD,Deoxycytidylate deaminase,-0.15,Non-significant,0.294,-1.11921164639048,0.288713399968959,17.58,4,0.507727634731247,0.284192913570542,0.501063608342342,-0.15
DPH1,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1,-0.6,Non-significant,0.294,-1.11911424943853,0.288753043436672,13.58,1,0.507727634731247,0.303008130777303,0.519982340431932,-0.6
RPL22,60S ribosomal protein L22,-0.09,Non-significant,0.294,-1.11906109875025,0.288774679136236,22.37,3,0.507727634731247,0.105215802110927,0.277186955071395,-0.09
UNC13A,Protein unc-13 homolog A,-0.55,Non-significant,0.294,-1.11892350501309,0.288830694356156,14.78,1,0.507727634731247,0.301780660601494,0.518326899500447,-0.55
COX17,Cytochrome c oxidase copper chaperone,-0.29,Non-significant,0.294,-1.11815493147473,0.289143740324647,17.21,2,0.508114933021223,0.288408008500954,0.50432828665339,-0.29
LMBR1,Protein LMBR1L,-0.36,Non-significant,0.294,-1.11775034398164,0.289308637713115,15.28,1,0.508114933021223,0.289987769358041,0.50570516689995,-0.36
PPP3R1,Calcineurin subunit B type 1,-0.34,Non-significant,0.294,-1.11780582117316,0.289286022604071,15.33,2,0.508114933021223,0.295119914980326,0.511040250786827,-0.34
NIFK,MKI67 FHA domain-interacting nucleolar phosphoprotein,-0.05,Non-significant,0.294,-1.1174278633478,0.289440123131564,19.17,12,0.508122296218816,0.339386305115225,0.554584028546475,-0.05
TRIP10,Cdc42-interacting protein 4,0.12,Non-significant,0.294,1.11731885402795,0.289484580117226,17.7,8,0.508122296218816,0.308205412441096,0.523806246566573,0.12
PNPLA2,Patatin-like phospholipase domain-containing protein 2,-0.08,Non-significant,0.294,-1.11684810817395,0.289676624004941,18.12,11,0.508308595562644,0.319232957592114,0.534096757132404,-0.08
AIP,AH receptor-interacting protein,0.12,Non-significant,0.293,1.11550420495674,0.290225421986976,19.3,13,0.509041847625554,0.318527032019355,0.533765066116829,0.12
NDUFB2,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",-0.15,Non-significant,0.293,-1.11540356231809,0.290266552964107,19.93,1,0.509041847625554,0.158125904148364,0.352328664124384,-0.15
COL12A1,Collagen alpha-1(XII) chain,0.6,Non-significant,0.293,1.11487652728966,0.29048201723734,16.25,4,0.509268769183213,0.310512062026289,0.526296153253954,0.6
TMEM184C,Transmembrane protein 184C,-0.4,Non-significant,0.292,-1.11306491930177,0.291223590495031,16.19,1,0.510417649573193,0.296302825033723,0.511942477656246,-0.4
CDC123,Cell division cycle protein 123 homolog,-0.39,Non-significant,0.292,-1.11270125374675,0.291372631883846,14.48,1,0.510527646685435,0.295712939768753,0.511617972108688,-0.39
GTF3C4,General transcription factor 3C polypeptide 4,0.07,Non-significant,0.292,1.11199522030135,0.291662154878894,17.53,12,0.510660041602417,0.330066185303635,0.545836114712578,0.07
PGLS,6-phosphogluconolactonase,0.08,Non-significant,0.292,1.11192970481067,0.291689032093157,20.46,11,0.510660041602417,0.322565239981276,0.538074917335934,0.08
SLC25A40,Solute carrier family 25 member 40,-0.16,Non-significant,0.292,-1.11188565305812,0.291707105055969,16.4,2,0.510660041602417,0.233472097728415,0.444769607939161,-0.16
CCDC6,Coiled-coil domain-containing protein 6,0.06,Non-significant,0.292,1.1110873720334,0.292034763316728,18.76,12,0.511022505549493,0.331922621549304,0.546919006323372,0.06
CERT1,Ceramide transfer protein,-0.19,Non-significant,0.292,-1.11075017570596,0.292173252708118,17.23,7,0.511022505549493,0.311234675604035,0.526766468978568,-0.19
SLK,STE20-like serine/threonine-protein kinase,-0.13,Non-significant,0.292,-1.11084020970823,0.292136270007107,17.24,11,0.511022505549493,0.317049106307093,0.53219278355151,-0.13
EXOC8,Exocyst complex component 8,0.11,Non-significant,0.29,1.10839344642535,0.293142600583127,16.76,9,0.512566420700462,0.315015415244604,0.530585315115946,0.11
CCDC58,Coiled-coil domain-containing protein 58,-0.06,Non-significant,0.29,-1.10766935623837,0.293440925464821,20.31,6,0.512832277663322,0.25951449878504,0.47349592639873,-0.06
YARS1,"Tyrosine--tRNA ligase, cytoplasmic",-0.06,Non-significant,0.29,-1.10760369562853,0.293467989212102,20.02,30,0.512832277663322,0.356760004860875,0.573004600641096,-0.06
SRRM1,Serine/arginine repetitive matrix protein 1,-0.14,Non-significant,0.29,-1.10731634030897,0.293586452961966,17.75,5,0.51288781877058,0.296999031985961,0.512793484756618,-0.14
CGREF1,Cell growth regulator with EF hand domain protein 1,-0.27,Non-significant,0.29,-1.10648973940934,0.293927429610334,15.31,2,0.513180466510577,0.290685190373181,0.506324483791025,-0.27
GABPA,GA-binding protein alpha chain,-0.16,Non-significant,0.29,-1.10650818165547,0.293919818763785,16.9,6,0.513180466510577,0.308042119213226,0.523771887295905,-0.16
ZNF592,Zinc finger protein 592,-0.2,Non-significant,0.29,-1.1061023050937,0.294087353313116,16.86,2,0.513308221107288,0.269406692963187,0.485407856961991,-0.2
RBM25,RNA-binding protein 25,-0.04,Non-significant,0.289,-1.10523769129652,0.294444487755863,20.75,22,0.513780015939676,0.40984473360875,0.622598683906326,-0.04
ADA,Adenosine deaminase,-0.15,Non-significant,0.289,-1.10381180375067,0.295034191468065,16.61,4,0.513914159280266,0.287495418166112,0.503734198782612,-0.15
NME1,Putative nucleoside diphosphate kinase;Nucleoside diphosphate kinase A,0.05,Non-significant,0.289,1.10374351953104,0.295062454600536,23.2,10,0.513914159280266,0.328779854758234,0.544012975560534,0.05
NR2C2,Nuclear receptor subfamily 2 group C member 2,0.24,Non-significant,0.289,1.10371169037993,0.295075629537188,16.1,4,0.513914159280266,0.306607251802773,0.522727296475757,0.24
PGM2,Phosphoglucomutase-2,0.06,Non-significant,0.289,1.10464661207829,0.294688829611247,19.18,21,0.513914159280266,0.355046830768859,0.57087285262482,0.06
SNRPB2,U2 small nuclear ribonucleoprotein B'';U2 small nuclear ribonucleoprotein B'';U1 small nuclear ribonucleoprotein A,-0.09,Non-significant,0.289,-1.10359353066414,0.295124542973863,19.89,3,0.513914159280266,0.159268876989818,0.353800567718042,-0.09
VPS13C,Vacuolar protein sorting-associated protein 13C,0.65,Non-significant,0.289,1.10391258745902,0.294992480475086,14,6,0.513914159280266,0.316240311272894,0.531740244899606,0.65
VPS29,Vacuolar protein sorting-associated protein 29,0.09,Non-significant,0.289,1.10358193989697,0.295129341428823,19.34,7,0.513914159280266,0.305388827860247,0.522307207260906,0.09
GATC,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",-0.13,Non-significant,0.288,-1.10213565107035,0.295728562253479,17.31,5,0.514806090866089,0.29523370849119,0.511087727660143,-0.13
CDKN2AIP,CDKN2A-interacting protein,-0.05,Non-significant,0.288,-1.10056630465743,0.296379828869681,18.61,13,0.515788072771148,0.346511543335607,0.562344707053425,-0.05
ZNF687,Zinc finger protein 687,-0.09,Non-significant,0.287,-1.09973760314917,0.296724179337226,17.01,4,0.516235509890729,0.238569088910058,0.450419048845185,-0.09
IRGQ,Immunity-related GTPase family Q protein,0.09,Non-significant,0.286,1.09742932946157,0.297684961786943,16.77,3,0.517754826247308,0.149974744788427,0.341439232363648,0.09
INTS3,Integrator complex subunit 3,-0.15,Non-significant,0.286,-1.0971122266322,0.297817137751036,17.26,13,0.517832501931496,0.323322619037657,0.538749630201582,-0.15
ANKHD1,Ankyrin repeat domain-containing protein 17;Ankyrin repeat and KH domain-containing protein 1,0.16,Non-significant,0.285,1.09553325364867,0.298475963598578,18.12,4,0.518820978307065,0.296333105623228,0.511942477656246,0.16
PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform;Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,-0.26,Non-significant,0.285,-1.09532964923839,0.298560999008882,17.57,1,0.518820978307065,0.279922899885817,0.495602572897779,-0.26
NSA2,Ribosome biogenesis protein NSA2 homolog,0.27,Non-significant,0.285,1.0949114305253,0.298735726561927,18.76,7,0.51897219438253706,0.31908491690298,0.534096757132404,0.27
SLC35C1,GDP-fucose transporter 1,-0.59,Non-significant,0.285,-1.09417839044035,0.299042173008643,14.46,2,0.519352080332298,0.315669169121223,0.531232785463674,-0.59
