"Genes","ProtDesc","X1_vs_X3","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","Comparison","X1H_vs_X3H","X3_vs_X5","X3H_vs_X5H"
"MTFMT","Methionyl-tRNA formyltransferase, mitochondrial",1.21,"Up in X3",4.253,8.44445985226896,6.42370106404514e-06,16.49,5,5.58956458764046e-05,1.13259677884588e-05,0.00010422356361479,"X1 vs X3 Down",NA,NA,NA
"ASGR2","Asialoglycoprotein receptor 2",0.59,"Up in X3",4.249,8.43503672833341,6.48875853672769e-06,18.71,8,5.63324339663357e-05,1.33750642427923e-05,0.00011936690064042,"X1 vs X3 Down",NA,NA,NA
"HIF1AN","Hypoxia-inducible factor 1-alpha inhibitor",0.95,"Up in X3",4.249,8.43443473021278,6.49293898344448e-06,15.92,5,5.63324339663357e-05,9.3356021509583e-06,9.22182937015363e-05,"X1 vs X3 Down",NA,NA,NA
"TMEM245","Transmembrane protein 245",0.66,"Up in X3",4.242,8.41546606245318,6.62617184733534e-06,18.16,4,5.73202614337474e-05,1.59276996933077e-06,2.60343091395861e-05,"X1 vs X3 Down",NA,NA,NA
"ACAD10","Acyl-CoA dehydrogenase family member 10",1.26,"Up in X3",4.234,8.39719690797457,6.75730091877734e-06,16.18,13,5.83692693962124e-05,1.7492096818569e-05,0.00014395095532054,"X1 vs X3 Down",NA,NA,NA
"NAXE","NAD(P)H-hydrate epimerase",0.53,"Up in X3",4.231,8.38958263284707,6.81278257679973e-06,19.64,8,5.87627325173819e-05,1.35137309782848e-05,0.00012024172360678,"X1 vs X3 Down",NA,NA,NA
"TBC1D20","TBC1 domain family member 20",0.75,"Up in X3",4.226,8.37865414906857,6.89327921076702e-06,17.85,7,5.93704994033602e-05,1.302583584014e-05,0.00011703327881277,"X1 vs X3 Down",NA,NA,NA
"MICAL1","[F-actin]-monooxygenase MICAL1",1.09,"Up in X3",4.223,8.36835585491737,6.97007942971591e-06,14.71,3,5.98577068006227e-05,4.82152975725723e-06,5.62051162694062e-05,"X1 vs X3 Down",NA,NA,NA
"NAXD","ATP-dependent (S)-NAD(P)H-hydrate dehydratase",0.95,"Up in X3",4.219,8.35917806288855,7.03930639454861e-06,16.76,9,6.03646028065857e-05,1.69514521591905e-05,0.00014107136768766,"X1 vs X3 Down",NA,NA,NA
"ADA","Adenosine deaminase",1.31,"Up in X3",4.219,8.35720960260389,7.05425122499058e-06,16.03,4,6.04052163506068e-05,1.07202450896695e-05,0.0001006807944699,"X1 vs X3 Down",NA,NA,NA
"PRDX6","Peroxiredoxin-6",0.5,"Up in X3",4.204,8.31958307558763,7.34663849959079e-06,23.28,20,6.24569827616073e-05,3.33021177845228e-05,0.00023942725508022,"X1 vs X3 Down",NA,NA,NA
"DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",0.77,"Up in X3",4.204,8.31648266804375,7.37131105007587e-06,17.91,12,6.25768256575307e-05,2.05983717399388e-05,0.00016337877424291,"X1 vs X3 Down",NA,NA,NA
"DNAJA3","DnaJ homolog subfamily A member 3, mitochondrial",0.39,"Up in X3",4.198,8.30170984162903,7.49011221196571e-06,19.84,12,6.34034248329057e-05,3.19576302548145e-05,0.00023201631683158,"X1 vs X3 Down",NA,NA,NA
"DERA","Deoxyribose-phosphate aldolase",0.52,"Up in X3",4.196,8.2954806044352,7.54082828554807e-06,18.96,13,6.37415442365542e-05,2.66032850269431e-05,0.00020155139245124,"X1 vs X3 Down",NA,NA,NA
"GOLM1","Golgi membrane protein 1",0.79,"Up in X3",4.185,8.27170693492827,7.73783674402494e-06,17.45,8,6.53135235583389e-05,1.69402437153155e-05,0.00014107136768766,"X1 vs X3 Down",NA,NA,NA
"ARHGAP18","Rho GTPase-activating protein 18",0.76,"Up in X3",4.183,8.26618337933922,7.78440460942399e-06,17.89,17,6.56129944073529e-05,2.40354808772191e-05,0.00018428713989409,"X1 vs X3 Down",NA,NA,NA
"ACP2","Lysosomal acid phosphatase",0.52,"Up in X3",4.18,8.25681716584003,7.86406553365967e-06,19.37,8,6.60606794519106e-05,1.54088122091199e-05,0.00013175425121584,"X1 vs X3 Down",NA,NA,NA
"PPP6R2","Serine/threonine-protein phosphatase 6 regulatory subunit 2",0.81,"Up in X3",4.18,8.25600529231766,7.87101217062649e-06,18.33,16,6.60606794519106e-05,2.33480685318091e-05,0.00018011802021214,"X1 vs X3 Down",NA,NA,NA
"PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",1,"Up in X3",4.173,8.23769485884075,8.02946341972217e-06,16.1,17,6.71999081393156e-05,2.21771033457396e-05,0.00017220724474638,"X1 vs X3 Down",NA,NA,NA
"AOX1","Aldehyde oxidase",0.82,"Up in X3",4.167,8.22310554991247,8.15819101949347e-06,17.32,12,6.80846491711465e-05,2.21486492767964e-05,0.00017220724474638,"X1 vs X3 Down",NA,NA,NA
"RABL6","Rab-like protein 6",0.71,"Up in X3",4.165,8.21773834944007,8.20610997736475e-06,17.82,11,6.83881024451651e-05,2.23000677043943e-05,0.00017293512530393,"X1 vs X3 Down",NA,NA,NA
"RABGGTA","Geranylgeranyl transferase type-2 subunit alpha",0.55,"Up in X3",4.154,8.1919870895565,8.44030631534437e-06,17.84,20,7.01422647020964e-05,3.36777390931536e-05,0.00024154082692629,"X1 vs X3 Down",NA,NA,NA
"DUSP3","Dual specificity protein phosphatase 3",0.52,"Up in X3",4.149,8.17614147613903,8.58801193895747e-06,18.16,9,7.09607900555254e-05,2.04525257487866e-05,0.00016287697827129,"X1 vs X3 Down",NA,NA,NA
"LNPK","Endoplasmic reticulum junction formation protein lunapark",0.38,"Up in X3",4.149,8.17499957861119,8.59876398002564e-06,19.48,8,7.09607900555254e-05,1.40511722948838e-05,0.00012372140843575,"X1 vs X3 Down",NA,NA,NA
"COQ7","5-demethoxyubiquinone hydroxylase, mitochondrial",0.85,"Up in X3",4.142,8.15725254245957,8.76775958375024e-06,17.29,3,7.21541494534773e-05,2.26648097429756e-06,3.31130072220214e-05,"X1 vs X3 Down",NA,NA,NA
"PIK3CB","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",2.01,"Up in X3",4.137,8.14668271297601,8.87011979905116e-06,15.19,6,7.28951372930357e-05,1.97388471794634e-05,0.00015761775811185,"X1 vs X3 Down",NA,NA,NA
"ABCC6","Multidrug resistance-associated protein 6",2.18,"Up in X3",4.134,8.13608360465893,8.97406640644384e-06,15.55,10,7.35193194852553e-05,2.13330895493789e-05,0.00016763332120009,"X1 vs X3 Down",NA,NA,NA
"CZIB","CXXC motif containing zinc binding protein",0.83,"Up in X3",4.134,8.13514370880403,8.98334764033118e-06,18.05,5,7.35193194852553e-05,1.10625081236288e-05,0.00010306795691907,"X1 vs X3 Down",NA,NA,NA
"LPCAT1","Lysophosphatidylcholine acyltransferase 1",0.64,"Up in X3",4.133,8.13354965332604,8.99911234527773e-06,18.85,12,7.35466129102325e-05,2.61709794327772e-05,0.00019853036577402,"X1 vs X3 Down",NA,NA,NA
"ST6GAL1","Beta-galactoside alpha-2,6-sialyltransferase 1",0.95,"Up in X3",4.13,8.125983439552,9.07435013158089e-06,17.68,7,7.40592134187092e-05,1.86160499253653e-05,0.0001504797368967,"X1 vs X3 Down",NA,NA,NA
"SCCPDH","Saccharopine dehydrogenase-like oxidoreductase",0.39,"Up in X3",4.124,8.10687777083117,9.26738892574657e-06,20.16,12,7.52196711572599e-05,3.69771951026293e-05,0.00025985043161788,"X1 vs X3 Down",NA,NA,NA
"RMND1","Required for meiotic nuclear division protein 1 homolog",0.51,"Up in X3",4.12,8.09696851577983,9.36925964743028e-06,18.22,12,7.59423415532123e-05,3.03518483162731e-05,0.00022281871772628,"X1 vs X3 Down",NA,NA,NA
"GCAT","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",0.84,"Up in X3",4.105,8.06059837305533,9.75369564990406e-06,18.06,6,7.85667166539524e-05,1.62657981753309e-05,0.00013651734440203,"X1 vs X3 Down",NA,NA,NA
"RASSF4","Ras association domain-containing protein 4",1.75,"Up in X3",4.105,8.06130683935572,9.74604579203306e-06,15.08,2,7.85667166539524e-05,1.14724825858765e-05,0.00010524446428004,"X1 vs X3 Down",NA,NA,NA
"TMCC1","Transmembrane and coiled-coil domains protein 1",1.24,"Up in X3",4.09,8.02755641220011,1.01178106825351e-05,18.53,3,8.12307812870558e-05,1.01699915204087e-05,9.78189782945529e-05,"X1 vs X3 Down",NA,NA,NA
"ARSA","Arylsulfatase A",2.07,"Up in X3",4.089,8.02364165075889,1.01619177216854e-05,15.26,5,8.14743457441905e-05,2.16069823682056e-05,0.00016956036428736,"X1 vs X3 Down",NA,NA,NA
"PRKAA1","5'-AMP-activated protein kinase catalytic subunit alpha-2;5'-AMP-activated protein kinase catalytic subunit alpha-1",0.51,"Up in X3",4.084,8.00807446977921,1.03393848345391e-05,17.95,7,8.24104916855481e-05,1.47306896023845e-05,0.00012780277181423,"X1 vs X3 Down",NA,NA,NA
"XYLB","Xylulose kinase",0.86,"Up in X3",4.084,8.00609025976812,1.03622453631989e-05,18.27,12,8.24104916855481e-05,2.711834250859e-05,0.000204146606391,"X1 vs X3 Down",NA,NA,NA
"FAM234A","Protein FAM234A",0.9,"Up in X3",4.077,7.99014975352714,1.05479004584813e-05,16.45,5,8.36621005533962e-05,1.46213868292143e-05,0.00012722756745361,"X1 vs X3 Down",NA,NA,NA
"ERBB3","Receptor tyrosine-protein kinase erbB-3",0.52,"Up in X3",4.076,7.98633103841461,1.05929094835918e-05,17.68,12,8.39066203673528e-05,3.35249340722282e-05,0.00024073669284632,"X1 vs X3 Down",NA,NA,NA
"CAST","Calpastatin",0.95,"Up in X3",4.071,7.97313363929583,1.0750070060294e-05,17.65,10,8.49241182199726e-05,2.60473908646856e-05,0.00019810078630635,"X1 vs X3 Down",NA,NA,NA
"ITGAV","Integrin alpha-V",0.81,"Up in X3",4.07,7.96981630449595,1.07899707068744e-05,17.98,22,8.51256755634345e-05,3.22137325540801e-05,0.00023286393454994,"X1 vs X3 Down",NA,NA,NA
"TPD52","Tumor protein D52",0.7,"Up in X3",4.063,7.95211453511773,1.10056181893159e-05,17.81,6,8.65960675880083e-05,1.58222018814187e-05,0.00013374281218907,"X1 vs X3 Down",NA,NA,NA
"VPS36","Vacuolar protein-sorting-associated protein 36",0.7,"Up in X3",4.062,7.95017996594784,1.10294673254916e-05,17.38,6,8.66684703385573e-05,1.56301675446473e-05,0.00013249813948664,"X1 vs X3 Down",NA,NA,NA
"ACOX1","Peroxisomal acyl-coenzyme A oxidase 1",0.47,"Up in X3",4.052,7.927022811649,1.1319336001217e-05,21.07,22,8.86404930385764e-05,5.20750990692923e-05,0.0003408499570719,"X1 vs X3 Down",NA,NA,NA
"DCAKD","Dephospho-CoA kinase domain-containing protein",0.58,"Up in X3",4.052,7.92654763961892,1.13253697375636e-05,18.38,7,8.86404930385764e-05,1.81778819853456e-05,0.00014794845626862,"X1 vs X3 Down",NA,NA,NA
"ARFGAP3","ADP-ribosylation factor GTPase-activating protein 3",0.64,"Up in X3",4.049,7.91784370976428,1.14365112938025e-05,17.21,6,8.93921232832617e-05,1.46972751229807e-05,0.0001277001129261,"X1 vs X3 Down",NA,NA,NA
"RNF213","E3 ubiquitin-protein ligase RNF213",0.62,"Up in X3",4.042,7.90373710598548,1.16191588708026e-05,16.53,34,9.06999512381783e-05,4.27061648657461e-05,0.00029078524454616,"X1 vs X3 Down",NA,NA,NA
"MTUS1","Microtubule-associated tumor suppressor 1",0.51,"Up in X3",4.035,7.88448054786347,1.18736081875482e-05,16.66,6,9.22865522028534e-05,1.06878205871684e-05,0.00010054027728819,"X1 vs X3 Down",NA,NA,NA
"APOC3","Apolipoprotein C-III",1.21,"Up in X3",4.033,7.87772223865147,1.19643364934567e-05,17.7,4,9.27824102644606e-05,1.72294741564119e-05,0.00014238379690431,"X1 vs X3 Down",NA,NA,NA
"IGFBP1","Insulin-like growth factor-binding protein 1",0.64,"Up in X3",4.026,7.86273915853916,1.21681705500961e-05,19.87,7,9.42396140640292e-05,2.10293534600711e-05,0.0001659550573558,"X1 vs X3 Down",NA,NA,NA
"ILVBL","2-hydroxyacyl-CoA lyase 2",0.45,"Up in X3",4.026,7.86144899411185,1.21858974814626e-05,20.29,13,9.42535364677313e-05,4.43125979661941e-05,0.00030034094177087,"X1 vs X3 Down",NA,NA,NA
"CCDC127","Coiled-coil domain-containing protein 127",0.63,"Up in X3",4.026,7.8599234541421,1.2206894604497e-05,17.96,8,9.42926832569306e-05,2.49169814726726e-05,0.00019023713467587,"X1 vs X3 Down",NA,NA,NA
"ACAT2","Acetyl-CoA acetyltransferase, cytosolic",0.69,"Up in X3",4.015,7.83441372750733,1.25638753142319e-05,21.34,13,9.66381283164808e-05,3.51790225066238e-05,0.00025018542809097,"X1 vs X3 Down",NA,NA,NA
"ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2",0.58,"Up in X3",4.012,7.82448905823217,1.2705803282868e-05,17.65,6,9.71675012452264e-05,1.43453384925118e-05,0.00012556415363933,"X1 vs X3 Down",NA,NA,NA
"MAN2B1","Lysosomal alpha-mannosidase",0.53,"Up in X3",4.012,7.82416717652522,1.27104353496375e-05,18.27,17,9.71675012452264e-05,4.64448610622802e-05,0.00031238384316919,"X1 vs X3 Down",NA,NA,NA
"SORBS3","Vinexin",0.78,"Up in X3",4.012,7.82641128393804,1.2678179375279e-05,17.94,10,9.71675012452264e-05,3.08844301420497e-05,0.00022505316890456,"X1 vs X3 Down",NA,NA,NA
"STXBP3","Syntaxin-binding protein 3",0.46,"Up in X3",4.003,7.80317229055394,1.30165522845866e-05,17.81,11,9.92512111699731e-05,3.94956331870209e-05,0.00027433156045659,"X1 vs X3 Down",NA,NA,NA
"ERLIN1","Erlin-1;Erlin-1;Erlin-2",0.66,"Up in X3",4.002,7.80024092321376,1.30599249393787e-05,20.33,3,9.94496391384203e-05,4.90396882193995e-07,1.15184072497536e-05,"X1 vs X3 Down",NA,NA,NA
"CYP8B1","7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase",2.26,"Up in X3",4.002,7.79721802465625,1.31048159415209e-05,15.41,2,9.95394042695497e-05,2.07990672416889e-05,0.00016474977358644,"X1 vs X3 Down",NA,NA,NA
"AIF1L","Allograft inflammatory factor 1-like",2.11,"Up in X3",3.994,7.77894410868453,1.33797745298989e-05,15.65,1,0.00010136763878798,1.67094758553601e-05,0.00013964684835616,"X1 vs X3 Down",NA,NA,NA
"NBAS","Neuroblastoma-amplified sequence",0.44,"Up in X3",3.985,7.75600356238117,1.37338314843886e-05,19.03,30,0.0001035198482715,7.06555373555646e-05,0.00042922876235408,"X1 vs X3 Down",NA,NA,NA
"FKBP10","Peptidyl-prolyl cis-trans isomerase FKBP9;Peptidyl-prolyl cis-trans isomerase FKBP10",1,"Up in X3",3.981,7.74689539448102,1.38772077076258e-05,19.26,15,0.00010446747837916,3.55499550118831e-05,0.00025161373660922,"X1 vs X3 Down",NA,NA,NA
"PSME1","Proteasome activator complex subunit 1",0.46,"Up in X3",3.975,7.73027651942752,1.41430096069505e-05,20.97,18,0.00010592935170167,5.84191800649276e-05,0.00037208427173754,"X1 vs X3 Down",NA,NA,NA
"AACS","Acetoacetyl-CoA synthetase",0.57,"Up in X3",3.974,7.72746748067744,1.41884796801069e-05,17.57,12,0.00010613556797369,4.08641525649696e-05,0.00028050254144654,"X1 vs X3 Down",NA,NA,NA
"PIGT","GPI transamidase component PIG-T",0.64,"Up in X3",3.966,7.70813615904464,1.45057242581607e-05,18.41,16,0.00010809870331931,4.42868678711362e-05,0.00030034094177087,"X1 vs X3 Down",NA,NA,NA
"CPPED1","Serine/threonine-protein phosphatase CPPED1",0.41,"Up in X3",3.964,7.70335181256828,1.45854202920802e-05,20.13,13,0.00010855588914243,5.60574410671064e-05,0.00036082739858358,"X1 vs X3 Down",NA,NA,NA
"ANXA2","Annexin A2",0.78,"Up in X3",3.961,7.69291450134847,1.47609322188731e-05,18.54,19,0.00010931218515528,4.21151865754851e-05,0.00028835458509996,"X1 vs X3 Down",NA,NA,NA
"FKBP9","Peptidyl-prolyl cis-trans isomerase FKBP9;Peptidyl-prolyl cis-trans isomerase FKBP9;Peptidyl-prolyl cis-trans isomerase FKBP10",1,"Up in X3",3.961,7.69381518269592,1.47456967105146e-05,18.9,1,0.00010931218515528,6.94481596686155e-07,1.45070504988862e-05,"X1 vs X3 Down",NA,NA,NA
"KIF3B","Kinesin-like protein KIF3B;Kinesin-like protein KIF3B;Kinesin-like protein KIFC3",1.41,"Up in X3",3.96,7.68835295105901,1.48383555653629e-05,14.64,1,0.00010961117338358,7.72206086738962e-06,8.04426657611697e-05,"X1 vs X3 Down",NA,NA,NA
"PGM3","Phosphoacetylglucosamine mutase",0.46,"Up in X3",3.955,7.67690394120408,1.50346240984315e-05,19.63,16,0.00011092253215763,5.81148653433218e-05,0.00037160349371432,"X1 vs X3 Down",NA,NA,NA
"BOK","Bcl-2-related ovarian killer protein",1.19,"Up in X3",3.95,7.66522747630463,1.5237691217228e-05,16.62,2,0.00011228072096181,8.01970900385744e-06,8.31126127309433e-05,"X1 vs X3 Down",NA,NA,NA
"GOSR2","Golgi SNAP receptor complex member 2",0.97,"Up in X3",3.942,7.64792272032455,1.55441236576928e-05,17.31,3,0.00011423987253085,9.500526004691e-06,9.36910206162611e-05,"X1 vs X3 Down",NA,NA,NA
"PDE6D","Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",1.01,"Up in X3",3.942,7.64695309145587,1.55614901571527e-05,16.91,2,0.00011423987253085,3.90629397559672e-06,4.83546892334849e-05,"X1 vs X3 Down",NA,NA,NA
"DSC2","Desmocollin-2",1.02,"Up in X3",3.94,7.64181468194407,1.56538728203026e-05,16.99,9,0.00011477566973696,3.53702332077422e-05,0.00025094205022807,"X1 vs X3 Down",NA,NA,NA
"DIPK2A","Divergent protein kinase domain 2A",1.41,"Up in X3",3.936,7.63020331000857,1.58648266073227e-05,14.55,5,0.00011594893191549,2.98204790674264e-05,0.00022000969406728,"X1 vs X3 Down",NA,NA,NA
"GRTP1","Growth hormone-regulated TBC protein 1",1.69,"Up in X3",3.933,7.62271046148338,1.60025885831799e-05,15.51,2,0.00011675378131526,1.88504405655504e-05,0.0001519592054855,"X1 vs X3 Down",NA,NA,NA
"POLG","DNA polymerase subunit gamma-1",0.44,"Up in X3",3.932,7.61998006341315,1.60531106701537e-05,17.8,21,0.00011683746407957,7.22876166953441e-05,0.00043824367621552,"X1 vs X3 Down",NA,NA,NA
"STARD10","START domain-containing protein 10",0.6,"Up in X3",3.932,7.61995633438221,1.60535504980054e-05,18.62,8,0.00011683746407957,3.20135948387606e-05,0.00023213779492763,"X1 vs X3 Down",NA,NA,NA
"PPCS","Phosphopantothenate--cysteine ligase",1,"Up in X3",3.932,7.61764010046849,1.60965457586183e-05,17.85,9,0.00011700646345668,3.62924092105619e-05,0.00025564545868916,"X1 vs X3 Down",NA,NA,NA
"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4",0.91,"Up in X3",3.919,7.59173887063802,1.65859244272585e-05,19.94,14,0.00012041584642464,4.21542531876749e-05,0.00028835458509996,"X1 vs X3 Down",NA,NA,NA
"ABHD10","Palmitoyl-protein thioesterase ABHD10, mitochondrial",0.39,"Up in X3",3.918,7.58847449709222,1.66487358570212e-05,19.97,15,0.00012072373782597,7.27570050440329e-05,0.0004396596597114,"X1 vs X3 Down",NA,NA,NA
"ENPP1","Ectonucleotide pyrophosphatase/phosphodiesterase family member 1",1.02,"Up in X3",3.917,7.58486229227646,1.67185403768923e-05,16.21,8,0.00012108152192175,3.60014597111007e-05,0.00025389825638925,"X1 vs X3 Down",NA,NA,NA
"ARMT1","Damage-control phosphatase ARMT1",0.6,"Up in X3",3.917,7.58307557136545,1.67531851696744e-05,17.57,9,0.00012118410348284,3.77527189446978e-05,0.00026435838816068,"X1 vs X3 Down",NA,NA,NA
"EFHD2","EF-hand domain-containing protein D2",0.67,"Up in X3",3.912,7.5728472155119,1.69530165749453e-05,18.1,13,0.00012233048667555,4.63026526701812e-05,0.00031204190871237,"X1 vs X3 Down",NA,NA,NA
"HGSNAT","Heparan-alpha-glucosaminide N-acetyltransferase",2.08,"Up in X3",3.909,7.56472838115274,1.71134713650668e-05,15.1,2,0.00012333789289537,2.56106131307377e-05,0.00019502959831991,"X1 vs X3 Down",NA,NA,NA
"ADH5","Alcohol dehydrogenase class-3",0.49,"Up in X3",3.908,7.56096899584957,1.71883253722652e-05,20.42,18,0.00012367907076824,6.44525704680317e-05,0.00039944994417113,"X1 vs X3 Down",NA,NA,NA
"SERPIND1","Heparin cofactor 2",0.82,"Up in X3",3.908,7.55992387038242,1.72091980222033e-05,18.22,10,0.00012367907076824,4.05033027236693e-05,0.00027932172752441,"X1 vs X3 Down",NA,NA,NA
"PPP2R5D","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform",1.38,"Up in X3",3.901,7.54410197816536,1.75285585434148e-05,15.31,1,0.00012571694654713,9.02785028135486e-06,8.99289395871662e-05,"X1 vs X3 Down",NA,NA,NA
"WDR11","WD repeat-containing protein 11",0.56,"Up in X3",3.899,7.53917815092727,1.76292491017751e-05,16.96,13,0.00012628603745182,5.17004690294725e-05,0.0003395246118173,"X1 vs X3 Down",NA,NA,NA
"CTSB","Cathepsin B",0.51,"Up in X3",3.897,7.53492669550172,1.77166936710208e-05,23.05,13,0.00012675897998963,5.48706083050845e-05,0.00035564839876802,"X1 vs X3 Down",NA,NA,NA
"LYPLA2","Acyl-protein thioesterase 2",1,"Up in X3",3.894,7.52769589668109,1.78664980351862e-05,18.66,4,0.00012767641168381,2.10484792162341e-05,0.0001659550573558,"X1 vs X3 Down",NA,NA,NA
"BORCS5","BLOC-1-related complex subunit 5",0.95,"Up in X3",3.892,7.52232835316984,1.79785868481486e-05,15.75,3,0.0001282722982843,1.05575981444246e-05,9.99508931528962e-05,"X1 vs X3 Down",NA,NA,NA
"IDI1","Isopentenyl-diphosphate Delta-isomerase 1",0.67,"Up in X3",3.892,7.52100136919859,1.80064150543521e-05,19.74,9,0.0001282722982843,4.03113686485845e-05,0.00027888231034483,"X1 vs X3 Down",NA,NA,NA
"AGL","Glycogen debranching enzyme",0.62,"Up in X3",3.887,7.50845328237559,1.82718781454796e-05,17.09,31,0.00012963393643501,6.09790030318441e-05,0.00038341391851944,"X1 vs X3 Down",NA,NA,NA
"RNF170","E3 ubiquitin-protein ligase RNF170",1.05,"Up in X3",3.887,7.5088516320875,1.82633859937297e-05,17.02,2,0.00012963393643501,6.11747294598753e-06,6.75318795175526e-05,"X1 vs X3 Down",NA,NA,NA
"CMC4","Cx9C motif-containing protein 4",1.66,"Up in X3",3.883,7.49958874096346,1.84619654433915e-05,16.25,2,0.00013082568805814,2.16525642177152e-05,0.00016960329347208,"X1 vs X3 Down",NA,NA,NA
"MTOR","Serine/threonine-protein kinase mTOR",0.67,"Up in X3",3.88,7.49109080286937,1.86462022060491e-05,17.42,33,0.00013197317996793,5.91660189594576e-05,0.00037603150825253,"X1 vs X3 Down",NA,NA,NA
"ABCD1","ATP-binding cassette sub-family D member 1",0.42,"Up in X3",3.874,7.47812424858656,1.89311647091666e-05,19.6,20,0.00013351096732316,8.55318434599931e-05,0.00049665546393795,"X1 vs X3 Down",NA,NA,NA
"HTRA2","Serine protease HTRA2, mitochondrial",0.4,"Up in X3",3.874,7.47874791472049,1.89173512018506e-05,19.62,13,0.00013351096732316,7.01831894646698e-05,0.00042811745573448,"X1 vs X3 Down",NA,NA,NA
"MAP4K4","Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4",0.44,"Up in X3",3.872,7.47207782519591,1.90656535784134e-05,18.27,6,0.00013429937169461,1.2838212767219e-05,0.000116017297179,"X1 vs X3 Down",NA,NA,NA
"OXSM","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",0.67,"Up in X3",3.867,7.45886007390527,1.93632667827214e-05,17.34,11,0.00013591037906685,4.85861527409407e-05,0.00032301602895297,"X1 vs X3 Down",NA,NA,NA
"MEAK7","MTOR-associated protein MEAK7",2.24,"Up in X3",3.862,7.44722367848645,1.96294373492452e-05,15.21,5,0.00013745252165146,4.06751366090407e-05,0.00027985439920429,"X1 vs X3 Down",NA,NA,NA
"UGP2","UTP--glucose-1-phosphate uridylyltransferase",0.52,"Up in X3",3.859,7.43944790118866,1.98095056303168e-05,19.93,22,0.00013838588525925,7.17405316692175e-05,0.00043537305219154,"X1 vs X3 Down",NA,NA,NA
"DPP3","Dipeptidyl peptidase 3",0.42,"Up in X3",3.849,7.41965522651159,2.02759720683483e-05,19.67,34,0.00014147750793445,0.0001017178754581,0.00056726170507594,"X1 vs X3 Down",NA,NA,NA
"HSD17B2","17-beta-hydroxysteroid dehydrogenase type 2",0.73,"Up in X3",3.847,7.41336954326478,2.04265866239066e-05,18.12,10,0.00014235617462858,4.79041132674428e-05,0.00031987183750719,"X1 vs X3 Down",NA,NA,NA
"LYPLAL1","Lysophospholipase-like protein 1",1.23,"Up in X3",3.847,7.41239623389082,2.04500166358447e-05,17.24,7,0.00014235617462858,4.22717030555061e-05,0.00028876322440374,"X1 vs X3 Down",NA,NA,NA
"ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.39,"Up in X3",3.842,7.40169636473908,2.07095150578983e-05,21.45,19,0.00014382417910514,0.00010009075947046,0.00056019362638571,"X1 vs X3 Down",NA,NA,NA
"PFKL","ATP-dependent 6-phosphofructokinase, liver type;ATP-dependent 6-phosphofructokinase, liver type;ATP-dependent 6-phosphofructokinase, platelet type",0.91,"Up in X3",3.842,7.40192764321211,2.07038684583807e-05,19.29,1,0.00014382417910514,4.3315756752816e-07,1.07688795254795e-05,"X1 vs X3 Down",NA,NA,NA
"DNPEP","Aspartyl aminopeptidase",0.55,"Up in X3",3.838,7.39233394003158,2.09395008261173e-05,19.73,13,0.00014525091018538,6.08952019551306e-05,0.00038341391851944,"X1 vs X3 Down",NA,NA,NA
"FMR1","Fragile X mental retardation syndrome-related protein 1;Synaptic functional regulator FMR1",0.45,"Up in X3",3.837,7.39030806606817,2.09896286947541e-05,18.83,10,0.00014542814167079,5.41267929769419e-05,0.00035194311433468,"X1 vs X3 Down",NA,NA,NA
"RPTOR","Regulatory-associated protein of mTOR",0.68,"Up in X3",3.835,7.38546150079032,2.11100788438953e-05,16.89,9,0.00014609162166003,4.666309457888e-05,0.000313400148267,"X1 vs X3 Down",NA,NA,NA
"TNS1","Tensin-3;Tensin-1",1.42,"Up in X3",3.835,7.38408481305991,2.11444294474484e-05,16.35,12,0.00014610941583837,4.82787538467357e-05,0.0003216952550801,"X1 vs X3 Down",NA,NA,NA
"SERPINB6","Serpin B6;Serpin B6",0.53,"Up in X3",3.823,7.35248911467815,2.19496474110937e-05,19.07,10,0.00015031951820768,5.39089947275082e-05,0.00035091256523945,"X1 vs X3 Down",NA,NA,NA
"BORCS8","BLOC-1-related complex subunit 8",1.62,"Up in X3",3.823,7.35129693343009,2.19806725456207e-05,15.12,1,0.00015033916708911,1.87527004844054e-05,0.00015137752901258,"X1 vs X3 Down",NA,NA,NA
