"Genes","ProtDesc","X1H_vs_H5H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd"
"C2orf69","UPF0565 protein C2orf69",0.85,"Up in X5H",1.437,2.64113903253034,0.0237697005885171,14.71,1,0.0365217653550391,0.0248088619963063,0.0380492577584614,FALSE,FALSE,FALSE
"PHAX","Phosphorylated adapter RNA export protein",0.39,"Up in X5H",1.436,2.63919560729259,0.0238507534545511,16.4,6,0.0366367882114691,0.0283585354693645,0.0427727388152511,FALSE,FALSE,FALSE
"TRIM33","E3 ubiquitin-protein ligase TRIM33",-0.22,"Non-significant",1.436,-2.63855030495393,0.0238777271522829,17.29,12,0.0366687027147828,0.0349131474932916,0.0515036384237862,FALSE,TRUE,FALSE
"FKBP4","Peptidyl-prolyl cis-trans isomerase FKBP4",0.16,"Non-significant",1.435,2.6380736148866,0.0238976722747109,19.71,24,0.0366898097689322,0.0468668825856075,0.0671131036444916,FALSE,FALSE,FALSE
"GIPC1","PDZ domain-containing protein GIPC1",-0.53,"Up in X1H",1.433,-2.63532149533744,0.0240131468892328,16.54,5,0.0368575331111777,0.0289050496413811,0.0435526301828499,FALSE,TRUE,FALSE
"PEG10","Retrotransposon-derived protein PEG10",-0.24,"Non-significant",1.433,-2.63450133066848,0.0240476666341846,19,10,0.0369009448844581,0.0326218520620544,0.0485227497866203,FALSE,FALSE,FALSE
"FN3K","Fructosamine-3-kinase",0.24,"Non-significant",1.432,2.6335663609007,0.0240870784243742,18.76,4,0.0369422610256667,0.0102918569272235,0.0172122434817359,FALSE,TRUE,FALSE
"RAB29","Ras-related protein Rab-7L1;Ras-related protein Rab-7L1;Ras-related protein Rab-32",-0.68,"Up in X1H",1.432,-2.63366658279137,0.0240828507064485,17.73,1,0.0369422610256667,0.0213372750463552,0.0331371801704157,FALSE,FALSE,FALSE
"PPP1R2","Protein phosphatase inhibitor 2",1.47,"Up in X5H",1.432,2.63243910285912,0.0241346809287017,16.68,2,0.037002821736777,0.0305709097206796,0.0458176476234197,FALSE,FALSE,FALSE
"SNX11","Sorting nexin-11",-0.4,"Up in X1H",1.432,-2.63233521904376,0.0241390724867262,16.14,2,0.037002821736777,0.0109733439209774,0.0182334389161536,FALSE,TRUE,FALSE
"TXNL4A","Thioredoxin-like protein 4A",-0.84,"Up in X1H",1.432,-2.63203352947103,0.0241518305279165,13.75,1,0.0370127897523134,0.0251309598666538,0.0384834082637139,FALSE,TRUE,FALSE
"ARID4A","AT-rich interactive domain-containing protein 4A",-0.61,"Up in X1H",1.43,-2.62955841104677,0.0242567526840566,16.69,2,0.0371639579574218,0.0226028849800769,0.0349285114722159,FALSE,TRUE,FALSE
"PIGV","GPI mannosyltransferase 2",-0.36,"Non-significant",1.429,-2.62772621393246,0.0243347118984779,18.36,1,0.037273748460599,0.00291211327870442,0.00557276011322577,FALSE,TRUE,FALSE
"RAB11B","Ras-related protein Rab-25;Ras-related protein Rab-11B",-0.31,"Non-significant",1.427,-2.62524446087456,0.0244407056777891,21.72,1,0.0374167284593733,0.00013942719108124,0.000391733470858355,FALSE,TRUE,FALSE
"POLB","DNA polymerase beta",0.42,"Up in X5H",1.427,2.62493576538598,0.0244539217883004,17.62,5,0.0374272776051147,0.0276150354970958,0.0418005026953993,FALSE,TRUE,FALSE
"LPCAT3","Lysophospholipid acyltransferase 5",0.18,"Non-significant",1.426,2.62411334817622,0.0244891663365389,19.53,7,0.0374715275958884,0.0234624312229136,0.0361152980088397,FALSE,TRUE,FALSE
"UQCR10","Cytochrome b-c1 complex subunit 9",0.5,"Up in X5H",1.424,2.62104989934455,0.024620893515918,18.09,3,0.0376633471907153,0.0232875630985829,0.0358741241484808,FALSE,TRUE,FALSE
"QPCT","Glutaminyl-peptide cyclotransferase",-1.09,"Up in X1H",1.424,-2.6202917327216,0.0246536026524298,13.82,1,0.0377036357959232,0.028557346443892,0.0430506544989831,FALSE,FALSE,FALSE
"SGPL1","Sphingosine-1-phosphate lyase 1",-0.2,"Non-significant",1.423,-2.61871546182431,0.02472174466585,19.49,12,0.0377980783431097,0.0367244863654268,0.0538668284145341,FALSE,TRUE,FALSE
"FEM1B","Protein fem-1 homolog B",-0.73,"Up in X1H",1.418,-2.61227430040791,0.0250021398529833,14,2,0.0382169107491869,0.0261904158502614,0.0398582023112132,FALSE,FALSE,FALSE
"PAXX","Protein PAXX",0.93,"Up in X5H",1.417,2.61134310262865,0.0250429363215425,16.41,2,0.0382606681884004,0.0289900432966649,0.0436584591973444,FALSE,FALSE,FALSE
"TUFM","Elongation factor Tu, mitochondrial",-0.07,"Non-significant",1.417,-2.61132570494848,0.0250436991539082,23.55,36,0.0382606681884004,0.125520197253801,0.161703245623937,FALSE,FALSE,FALSE
"SENP2","Sentrin-specific protease 2",-0.63,"Up in X1H",1.417,-2.61091931672734,0.02506152451975,14.06,1,0.0382780177035004,0.0209536041451595,0.0326183835114204,FALSE,FALSE,FALSE
"DCTN6","Dynactin subunit 6",0.54,"Up in X5H",1.414,2.60723636589223,0.0252236433742092,17.35,2,0.0385156897665021,0.0209149031952318,0.0325667058437332,FALSE,FALSE,FALSE
"NDRG3","Protein NDRG3",0.19,"Non-significant",1.412,2.60452925127891,0.0253434688510612,18.53,9,0.0386886752300643,0.0320296654936387,0.0477379170594106,FALSE,FALSE,FALSE
"CTBP1","C-terminal-binding protein 1",-0.12,"Non-significant",1.412,-2.60388260842309,0.0253721745919886,20.37,8,0.0387125211605974,0.0222730803976334,0.0344818986689683,FALSE,TRUE,FALSE
"GPX7","Glutathione peroxidase 7",1.21,"Up in X5H",1.412,2.60393558852788,0.0253698214915637,15.03,1,0.0387125211605974,0.0302705142228978,0.0454364872290427,FALSE,TRUE,FALSE
"FECH","Ferrochelatase, mitochondrial",0.13,"Non-significant",1.412,2.60309850344153,0.0254070257230603,18.7,10,0.0387557028108656,0.0351416421980344,0.0518148758748491,FALSE,TRUE,FALSE
"MRPL37","39S ribosomal protein L37, mitochondrial",-0.1,"Non-significant",1.411,-2.60269242707647,0.0254250932280722,19.59,20,0.03877326717281,0.0701467178003028,0.0965251463312539,FALSE,TRUE,FALSE
"TMEM181","Transmembrane protein 181",0.69,"Up in X5H",1.411,2.60149368823618,0.0254785027786013,17,2,0.0388447052154043,0.0258662358775857,0.0393952426480501,FALSE,FALSE,FALSE
"ALG8","Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",-0.31,"Non-significant",1.411,-2.60132522275124,0.025486017615973,17.87,2,0.0388461530741144,0.00365662569046884,0.00683825986425542,FALSE,FALSE,FALSE
"SDHAF2","Succinate dehydrogenase assembly factor 2, mitochondrial",-1.34,"Up in X1H",1.408,-2.59818204182887,0.0256266302497628,15.33,1,0.0390504175091029,0.0312262986386477,0.046681659687943,FALSE,TRUE,FALSE
"ARFGAP2","ADP-ribosylation factor GTPase-activating protein 2",0.15,"Non-significant",1.403,2.59123983070572,0.0259399210959786,17.45,10,0.0395176398364843,0.0354653515106124,0.052266123259849,FALSE,FALSE,FALSE
"STAU2","Double-stranded RNA-binding protein Staufen homolog 2",0.67,"Up in X5H",1.402,2.59012245873501,0.025990699045123,15.53,4,0.0395848046975528,0.0311998725745153,0.0466539413756399,FALSE,FALSE,FALSE
"GTF2H3","General transcription factor IIH subunit 3",0.79,"Up in X5H",1.402,2.58929733648757,0.0260282590601363,15.57,5,0.0396318087644948,0.0331699762178501,0.0492637422894124,FALSE,TRUE,FALSE
"SAC3D1","SAC3 domain-containing protein 1",-1,"Up in X1H",1.402,-2.58882534948332,0.0260497682956801,15.84,3,0.0396525028315018,0.0321944940742522,0.0479473499716462,FALSE,FALSE,FALSE
"MAP4K4","Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4",0.18,"Non-significant",1.401,2.58752033036723,0.0261093317258358,18.57,6,0.0397143742472418,0.018204325005654,0.0286831189309814,FALSE,TRUE,FALSE
"TBC1D17","TBC1 domain family member 17",0.81,"Up in X5H",1.401,2.58756355088724,0.0261073569086766,15.16,3,0.0397143742472418,0.030876836962785,0.046229189732885,FALSE,TRUE,FALSE
"STARD3","StAR-related lipid transfer protein 3",-1.21,"Up in X1H",1.4,-2.58596959230726,0.0261802853239035,16.12,2,0.0398120658600711,0.0321541895029968,0.0478993804857079,FALSE,FALSE,FALSE
"TEX2","Testis-expressed protein 2",1,"Up in X5H",1.399,2.5849656910533,0.0262263201761913,14.7,1,0.039871823351111,0.0296314284095374,0.0445676568122097,FALSE,TRUE,FALSE
"ANKRD30B","Ankyrin repeat domain-containing protein 30B",-2.62,"Up in X1H",1.399,-2.5847501253202,0.0262362155814479,17.12,1,0.039876621524641,0.0341641541985847,0.0505499625889036,TRUE,FALSE,FALSE
"PKN1","Serine/threonine-protein kinase N1",-0.73,"Up in X1H",1.397,-2.58204878817162,0.0263605320893152,14.09,1,0.040044998298454,0.0252677224936915,0.0386428312212903,FALSE,TRUE,FALSE
"VPS53","Vacuolar protein sorting-associated protein 53 homolog",0.8,"Up in X5H",1.397,2.58128561663307,0.0263957588855005,15.61,6,0.0400882200527481,0.0342370906937926,0.0506325582692254,FALSE,TRUE,FALSE
"HECTD4","Probable E3 ubiquitin-protein ligase HECTD4",0.85,"Up in X5H",1.395,2.57842463049524,0.0265282321377654,14.91,1,0.0402790735332712,0.0279599592351393,0.0422793454623867,FALSE,TRUE,FALSE
"TYMS","Thymidylate synthase",-0.72,"Up in X1H",1.394,-2.57737648739648,0.0265769289480858,14.38,3,0.0403426599758399,0.0304313414810958,0.0456315883283436,FALSE,TRUE,FALSE
"TERF2IP","Telomeric repeat-binding factor 2-interacting protein 1",0.18,"Non-significant",1.394,2.57629649432827,0.0266271979087052,17.63,13,0.0404085996475529,0.0412832810187667,0.059825150819567,FALSE,FALSE,FALSE
"BAD","Bcl2-associated agonist of cell death",0.63,"Up in X5H",1.392,2.57444370980953,0.026713655860295,15.12,1,0.0405294106988117,0.022709370607614,0.0350655913061722,TRUE,FALSE,FALSE
"BRD4","Bromodomain-containing protein 4;Bromodomain-containing protein 4;Bromodomain-containing protein 3",0.4,"Up in X5H",1.391,2.57274634905475,0.0267931045435374,17.97,1,0.0406395282194593,0.00805925888971202,0.0138621710464218,FALSE,TRUE,FALSE
"F10","Coagulation factor X",0.77,"Up in X5H",1.391,2.572582177893,0.0268008013030165,19.24,12,0.0406407845489362,0.0358770527571426,0.0527546026749534,TRUE,FALSE,FALSE
"GIT2","ARF GTPase-activating protein GIT2;ARF GTPase-activating protein GIT2;ARF GTPase-activating protein GIT1",0.52,"Up in X5H",1.389,2.5696472079703,0.0269387692291292,15.73,1,0.0408395330588669,0.0171651045539751,0.0272148777186149,FALSE,FALSE,FALSE
"SYNE2","Nesprin-2",0.75,"Up in X5H",1.388,2.56842611392832,0.0269963772029575,15.13,1,0.0409163841982324,0.0264395057994648,0.0401959290378811,TRUE,FALSE,FALSE
"ACTR2","Actin-related protein 2",-0.11,"Non-significant",1.386,-2.56486848279991,0.0271649112378658,19.25,11,0.041161275235455,0.0438072016163456,0.0631288874729461,FALSE,TRUE,FALSE
"HBS1L","HBS1-like protein",0.34,"Non-significant",1.385,2.56417912437337,0.0271976878467199,17.46,7,0.0412003888860834,0.0331659744818076,0.0492637422894124,FALSE,FALSE,FALSE
"EDF1","Endothelial differentiation-related factor 1",-0.27,"Non-significant",1.384,-2.56319538339942,0.0272445289521317,19.9,4,0.0412607826490308,0.0169835202688894,0.0269558716284922,FALSE,FALSE,FALSE
"COG7","Conserved oligomeric Golgi complex subunit 7",0.21,"Non-significant",1.383,2.5610199593582,0.0273483953484671,17.96,15,0.0414074859971545,0.0418439248316819,0.060550379855481,FALSE,TRUE,FALSE
"CAPN5","Calpain-5",-0.65,"Up in X1H",1.382,-2.55916763242101,0.0274371433808006,14.22,1,0.0415206080266489,0.0240392520835015,0.0369455206696307,FALSE,FALSE,FALSE
"JAK1","Tyrosine-protein kinase JAK1",-0.95,"Up in X1H",1.382,-2.55918114867078,0.0274364947666661,15.65,2,0.0415206080266489,0.0319960025917529,0.0476997599736462,FALSE,FALSE,FALSE
"RAB3A","Ras-related protein Rab-3D;Ras-related protein Rab-3D;Ras-related protein Rab-3D;Ras-related protein Rab-3A",-1.5,"Up in X1H",1.382,-2.55882813303397,0.0274534401502995,15.99,2,0.0415346472434983,0.0346270970346018,0.0511454151656861,TRUE,FALSE,FALSE
"GNG10","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10",0.34,"Non-significant",1.379,2.5551363118172,0.0276312741554415,19.14,2,0.0417930084810193,0.00741639735301116,0.0128490408670254,FALSE,FALSE,FALSE
"PIP4K2A","Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha;Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha;Phosphatidylinositol 5-phosphate 4-kinase type-2 beta",0.68,"Up in X5H",1.376,2.55175846234054,0.0277949796870337,16.94,2,0.0420298734495728,0.0283571412659552,0.0427727388152511,FALSE,TRUE,FALSE
"UBQLN1","Ubiquilin-4;Ubiquilin-4;Ubiquilin-2;Ubiquilin-2;Ubiquilin-1",-0.41,"Up in X1H",1.376,-2.55150773099218,0.0278071693143273,18.15,2,0.0420375628086036,0.014946063155225,0.0240510893906626,FALSE,TRUE,FALSE
"USP34","Ubiquitin carboxyl-terminal hydrolase 34",0.18,"Non-significant",1.376,2.55121407354276,0.0278214525541762,16.53,11,0.0420484124554434,0.0396215021287771,0.0576587378494772,FALSE,FALSE,FALSE
"MYO9B","Unconventional myosin-IXb",0.84,"Up in X5H",1.375,2.55007692227844,0.0278768308935372,15.35,3,0.0421213504589019,0.0332920825246531,0.0493919541262736,FALSE,TRUE,FALSE
"MAOA","Amine oxidase [flavin-containing] A;Amine oxidase [flavin-containing] A;Amine oxidase [flavin-containing] B",0.44,"Up in X5H",1.374,2.54781361230198,0.0279873759822559,20.47,1,0.0422694575692146,0.0127067849176633,0.0207638901844281,FALSE,TRUE,FALSE
"MRPL38","39S ribosomal protein L38, mitochondrial",-0.13,"Non-significant",1.374,-2.547777590032,0.0279891388805446,20.27,16,0.0422694575692146,0.0544976154824432,0.076904934607588,FALSE,TRUE,FALSE
"AIMP1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",0.12,"Non-significant",1.373,2.54660582401491,0.0280465438365721,20.24,15,0.0423453431694302,0.0552846728892906,0.077819366675074,FALSE,TRUE,FALSE
"P3H1","Prolyl 3-hydroxylase 1",0.12,"Non-significant",1.373,2.54574976851807,0.0280885554743508,18.87,13,0.0423979547810545,0.0502798320259296,0.0713785427297086,FALSE,FALSE,FALSE
"ABI1","Abl interactor 1;Abl interactor 1;Abl interactor 2",0.31,"Non-significant",1.371,2.54388347630373,0.0281803605378904,18.05,2,0.0425256805158626,0.00435369697935624,0.00800522841107857,FALSE,FALSE,FALSE
"POMP","Proteasome maturation protein",0.55,"Up in X5H",1.369,2.54064036412707,0.0283405971546688,15.78,4,0.0427565816838795,0.03224954981562,0.0480172587466088,FALSE,FALSE,FALSE
"TBRG4","FAST kinase domain-containing protein 4",-0.11,"Non-significant",1.368,-2.53889063729962,0.0284274208053086,19.94,13,0.042876637498091,0.0528293507573393,0.0747289668733389,FALSE,FALSE,FALSE
"EEF1AKMT1","EEF1A lysine methyltransferase 1",-0.88,"Up in X1H",1.367,-2.53790395966157,0.028476496536375,14.28,1,0.0429397120300028,0.0307213964745712,0.0460198741620349,TRUE,FALSE,FALSE
"VASP","Vasodilator-stimulated phosphoprotein",-0.13,"Non-significant",1.366,-2.53670730944511,0.0285361280071945,18.2,7,0.0430186673677885,0.0197331830091614,0.0308647221425345,FALSE,TRUE,FALSE
"POMGNT1","Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",1.23,"Up in X5H",1.365,2.53539841196914,0.0286014938947836,14.83,2,0.0431062250064785,0.0351351690227051,0.0518148758748491,FALSE,FALSE,FALSE
"SRPRA","Signal recognition particle receptor subunit alpha",0.2,"Non-significant",1.363,2.53139048801699,0.0288025670829443,18.39,10,0.043398214777128,0.0385691217038511,0.0562934122155123,FALSE,TRUE,FALSE
"GABPA","GA-binding protein alpha chain",0.35,"Non-significant",1.363,2.53122045613398,0.0288111281204313,16.97,6,0.0434000623952628,0.033187786814233,0.0492654627646303,FALSE,FALSE,FALSE
"DHX16","RNA helicase",-0.59,"Up in X1H",1.362,-2.53052864201691,0.0288459865394548,16.56,1,0.0434415124341955,0.0229456491938697,0.0354027135019888,FALSE,TRUE,FALSE
"MAGT1","Magnesium transporter protein 1",-0.23,"Non-significant",1.361,-2.52856337773305,0.0289452370361342,20.25,7,0.0435798899600015,0.0317080115653618,0.0473419895110386,FALSE,TRUE,FALSE
"CNOT11","CCR4-NOT transcription complex subunit 11",0.7,"Up in X5H",1.36,2.52810260011122,0.0289685560259503,15.42,3,0.0436039038426731,0.0329507977180308,0.0489874045471328,FALSE,FALSE,FALSE
"PSMB1","Proteasome subunit beta type-1",0.16,"Non-significant",1.36,2.52712420665259,0.0290181318359296,21.7,12,0.0436674176178015,0.0436290958938673,0.0629028655955197,FALSE,FALSE,FALSE
"PDCD5","Programmed cell death protein 5",0.34,"Non-significant",1.359,2.52586951668868,0.0290818300518986,19.31,6,0.0437521455421012,0.0333910457314644,0.0494926897778243,FALSE,FALSE,FALSE
"ACBD3","Golgi resident protein GCP60",0.12,"Non-significant",1.359,2.52519124927817,0.0291163217074572,19.43,11,0.0437929017648766,0.044972990624226,0.0646828355672205,FALSE,TRUE,FALSE
"SLMAP","Sarcolemmal membrane-associated protein",0.36,"Non-significant",1.359,2.52496283259622,0.0291279463517206,16.38,7,0.043799252493807,0.0358326537651521,0.0527293777570827,FALSE,TRUE,FALSE
"FUBP1","Far upstream element-binding protein 2;Far upstream element-binding protein 1;Far upstream element-binding protein 1;Far upstream element-binding protein 3",-0.29,"Non-significant",1.357,-2.52280418065751,0.0292380309515904,20.06,1,0.0439536151271749,4.04893704469696e-05,0.000133990830500402,FALSE,FALSE,FALSE
"WDR26","WD repeat-containing protein 26",-0.22,"Non-significant",1.357,-2.52260285834506,0.0292483186271177,18,9,0.0439579124502553,0.0371677725259359,0.0544360668405848,FALSE,TRUE,FALSE
"CYP27A1","Sterol 26-hydroxylase, mitochondrial",-0.11,"Non-significant",1.355,-2.52033730866809,0.0293643353667991,21.64,21,0.0441210696712418,0.0682468210278271,0.0942175548347301,FALSE,TRUE,FALSE
"UPP1","Uridine phosphorylase 1",-1.03,"Up in X1H",1.353,-2.51686944741113,0.0295427992456175,15.89,3,0.0443779495141708,0.036452160358643,0.0535337386056318,FALSE,TRUE,FALSE
"NUP85","Nuclear pore complex protein Nup85",-0.12,"Non-significant",1.349,-2.51201337681194,0.0297944984087359,18.6,13,0.0447446820011396,0.0517297253949213,0.0733137209968262,FALSE,TRUE,FALSE
"C3orf33","Protein C3orf33",0.5,"Up in X5H",1.346,2.50819819629616,0.0299937250007097,17.32,4,0.0450324462900785,0.0331032945430247,0.049189400756172,FALSE,FALSE,FALSE
"PECAM1","Platelet endothelial cell adhesion molecule",0.61,"Up in X5H",1.345,2.50664405850199,0.0300752562541274,14.98,3,0.0451434021450208,0.0325010123281904,0.0483774419733889,FALSE,FALSE,FALSE
"LRRC20","Leucine-rich repeat-containing protein 20",1.01,"Up in X5H",1.344,2.50433745698154,0.0301966642279953,14.63,2,0.0453141420839584,0.0357017961881567,0.0525752931919669,FALSE,FALSE,FALSE
"N4BP1","NEDD4-binding protein 1",0.68,"Up in X5H",1.344,2.50414644115504,0.0302067399246092,14.26,2,0.045317768796631,0.0308845676887096,0.046229189732885,FALSE,TRUE,FALSE
"AKAP13","A-kinase anchor protein 13",0.7,"Up in X5H",1.343,2.50244246755069,0.0302967674469636,14.83,3,0.0454413112759654,0.0345043974600442,0.0509769088067619,FALSE,FALSE,FALSE
"PCF11","Pre-mRNA cleavage complex 2 protein Pcf11",-0.47,"Up in X1H",1.341,-2.50052484519895,0.030398398332155,16.46,7,0.0455821903019161,0.0383946121169093,0.0560663672003337,FALSE,TRUE,FALSE
"WDR55","WD repeat-containing protein 55",-0.18,"Non-significant",1.34,-2.49924543798962,0.0304663911407594,17.88,7,0.0456725706561625,0.0299866969539868,0.0450676367479654,FALSE,TRUE,FALSE
"GEMIN4","Gem-associated protein 4",-0.57,"Up in X1H",1.338,-2.4958631053073,0.0306468624949206,16.46,12,0.0459164073002367,0.0407128559716392,0.0590580948232874,TRUE,FALSE,FALSE
"HEXIM1","Protein HEXIM1;Protein HEXIM1;Protein HEXIM2",-0.32,"Non-significant",1.338,-2.49576102862426,0.0306523253060563,18.7,1,0.0459164073002367,0.00204937501207386,0.00411614119023795,FALSE,TRUE,FALSE
"MRPL57","Ribosomal protein 63, mitochondrial",0.31,"Non-significant",1.338,2.49597012838668,0.0306411359960724,17.59,3,0.0459164073002367,0.0155533273309894,0.0249401186497194,FALSE,TRUE,FALSE
"AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1",0.17,"Non-significant",1.338,2.4954555579456,0.0306686788169073,20.56,14,0.045917654999909,0.0477308960328324,0.0682018140126224,FALSE,FALSE,FALSE
"PDHA1","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",-0.15,"Non-significant",1.338,-2.49554908596405,0.0306636708418044,21.59,14,0.045917654999909,0.0502751141273133,0.0713785427297086,FALSE,FALSE,FALSE
"B3GNT2","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",1.02,"Up in X5H",1.337,2.49327360560541,0.0307857401847817,15.24,3,0.0460696066447529,0.0378702913750045,0.0553964188049201,FALSE,TRUE,FALSE
"MRPL9","39S ribosomal protein L9, mitochondrial",-0.17,"Non-significant",1.337,-2.49336447557288,0.0307808562780919,19.3,10,0.0460696066447529,0.0411643147989534,0.0596690961943673,FALSE,TRUE,FALSE
"GLE1","Nucleoporin GLE1",-0.3,"Non-significant",1.336,-2.49195196663897,0.0308568592422906,16.8,4,0.0461643580623599,0.0234513736074852,0.0361076704750168,FALSE,FALSE,FALSE
"PPP1R18","Phostensin",-0.77,"Up in X1H",1.335,-2.49154386556034,0.0308788522692742,13.95,1,0.0461855836393568,0.0313963413036945,0.046900315954042,FALSE,FALSE,FALSE
"GET3","ATPase GET3",-0.22,"Non-significant",1.335,-2.49073517869815,0.0309224788117476,19.54,8,0.0462391476191838,0.036614855537876,0.0537459936039722,FALSE,TRUE,FALSE
"MTCH2","Mitochondrial carrier homolog 2 (Fragment)",0.56,"Up in X5H",1.335,2.49047015755275,0.0309367891770033,17.98,1,0.046248858403317,0.0235396728941426,0.036205938267388,FALSE,FALSE,FALSE
"FAM162A","Protein FAM162A",0.28,"Non-significant",1.335,2.49005792888993,0.0309590612456746,21.61,5,0.0462587791390547,0.0280109025709486,0.0423455571058516,FALSE,TRUE,FALSE
"MALT1","Mucosa-associated lymphoid tissue lymphoma translocation protein 1",0.93,"Up in X5H",1.335,2.49008983256886,0.0309573369777898,14.6,3,0.0462587791390547,0.037576577359525,0.0549878767208627,FALSE,TRUE,FALSE
"LMF2","Lipase maturation factor 2",0.28,"Non-significant",1.335,2.48955294642318,0.0309863661201906,19.33,8,0.0462878890010522,0.0382582060790851,0.055880968987891,FALSE,FALSE,FALSE
"SLC25A22","Mitochondrial glutamate carrier 1",-0.14,"Non-significant",1.333,-2.48694213422883,0.0311279128514208,19.31,8,0.0464875972594287,0.0315952806388299,0.0471855819131642,FALSE,TRUE,FALSE
"VTA1","Vacuolar protein sorting-associated protein VTA1 homolog",0.3,"Non-significant",1.332,2.48626048813387,0.031164973107161,18.93,3,0.0465312000694099,0.0143917237899319,0.0232412198867432,FALSE,FALSE,FALSE
"VMA21","Vacuolar ATPase assembly integral membrane protein VMA21",-0.98,"Up in X1H",1.332,-2.48568240802048,0.031196436557155,16.95,2,0.0465664266167221,0.0366570986623291,0.053794655948661,FALSE,TRUE,FALSE
"LRCH3","DISP complex protein LRCH3",0.85,"Up in X5H",1.331,2.48391965965248,0.0312925712014906,14.54,1,0.0466981447160706,0.0333478712281128,0.0494410809463151,FALSE,FALSE,FALSE
"SFT2D2","Vesicle transport protein SFT2B",-0.8,"Up in X1H",1.331,-2.48376609160547,0.0313009600702142,14.58,2,0.04669888571242,0.034683780304229,0.0512035748653002,FALSE,FALSE,FALSE
"ARID2","AT-rich interactive domain-containing protein 2",-0.53,"Up in X1H",1.329,-2.48182426687618,0.0314072255958617,15.76,5,0.0468456147846517,0.0375817092207485,0.0549878767208627,FALSE,TRUE,FALSE
"SLC30A7","Zinc transporter 7",-0.28,"Non-significant",1.329,-2.48094041986539,0.0314557109466387,18.76,5,0.0469061092921525,0.0289635093115016,0.0436296040214244,FALSE,FALSE,FALSE
"INPP5K","Inositol polyphosphate 5-phosphatase K",0.85,"Up in X5H",1.328,2.47919435723875,0.0315517110347092,14.84,2,0.0470374084636872,0.0356012611298056,0.0524402942755937,FALSE,FALSE,FALSE
"CCT6A","T-complex protein 1 subunit zeta;T-complex protein 1 subunit zeta;T-complex protein 1 subunit zeta-2",-0.19,"Non-significant",1.325,-2.47616115775678,0.0317191630995506,21.06,6,0.0472751355314964,0.0254036939031808,0.0388006341830461,FALSE,FALSE,FALSE
"TIMM8A","Mitochondrial import inner membrane translocase subunit Tim8 A",0.22,"Non-significant",1.324,2.47485126940158,0.0317917466574156,20.07,4,0.0473713837753533,0.0121677855519453,0.019965831145552,FALSE,FALSE,FALSE
"H2AC11","Histone H2A type 1-B/E;Histone H2A type 1",0.74,"Up in X5H",1.324,2.47408884082687,0.0318340693665124,19.86,3,0.0474225046429138,0.0367782854123947,0.0539323704548053,FALSE,TRUE,FALSE
"MRPL42","39S ribosomal protein L42, mitochondrial",0.66,"Up in X5H",1.321,2.46962762699648,0.0320828232083134,14,2,0.0477690148272748,0.032607209793624,0.0485131657905137,FALSE,TRUE,FALSE
"WDR4","tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4",0.69,"Up in X5H",1.321,2.46973620131633,0.0320767466139916,15.22,1,0.0477690148272748,0.0305267894235223,0.0457631145221641,FALSE,FALSE,FALSE
"DENND1A","DENN domain-containing protein 1A",0.46,"Up in X5H",1.321,2.46910211138641,0.03211225077444,17.75,4,0.0478008019704054,0.0342681756000732,0.0506606968600113,FALSE,FALSE,FALSE
"CCDC12","Coiled-coil domain-containing protein 12",-0.57,"Up in X1H",1.318,-2.46596783486242,0.0322883129551564,16.55,3,0.0480507916890494,0.0340943236820456,0.0504592579356338,FALSE,TRUE,FALSE
"TOR3A","Torsin-3A",-0.75,"Up in X1H",1.318,-2.46529245314377,0.0323263750390136,15.63,1,0.0480953384726788,0.0325078095802255,0.0483774419733889,FALSE,TRUE,FALSE
"MOB1A","MOB kinase activator 1B",0.42,"Up in X5H",1.318,2.46479642175182,0.0323543575983149,18.81,3,0.048124870263758,0.0278185713507511,0.0420870587272806,FALSE,FALSE,FALSE
"HDAC1","Histone deacetylase 1;Histone deacetylase 1;Histone deacetylase 2",-0.34,"Non-significant",1.317,-2.46436870128887,0.0323785056070352,19.84,1,0.0481486850155384,0.00509757762148293,0.00917626005059767,FALSE,TRUE,FALSE
"PUS1","tRNA pseudouridine synthase A",0.1,"Non-significant",1.316,2.46227785650858,0.032496803894969,19.23,13,0.0483124594589275,0.0604967087476197,0.0844242985046382,FALSE,TRUE,FALSE
"FLVCR1","Feline leukemia virus subgroup C receptor-related protein 1",-1.31,"Up in X1H",1.316,-2.46181650743143,0.0325229636477734,15.31,1,0.0483270657719426,0.0392025758692584,0.0571474849515649,FALSE,TRUE,FALSE
